Feature,Mutual Information,Random Forest,Chi-Square
Contract,0.09256329157134346,0.06830717633583723,109.79744633031075
tenure,0.0839201666484648,0.17349553886624258,52.909270984442145
OnlineSecurity,0.06452918434072874,0.03938012528426833,49.54111279522121
TotalCharges,0.06340912184814673,0.18552245738829698,17.745853981976346
TechSupport,0.05908088241380516,0.04101197053515919,50.63458589801637
InternetService,0.058760157921798006,0.027881394166218824,1.438812783643009
MonthlyCharges,0.04734229005197954,0.1718670320889602,8.488220318852758
DeviceProtection,0.04640286503720059,0.026261924530299897,23.497520990975804
StreamingMovies,0.04495106002273053,0.020954841156222846,1.3291927705754316
PaymentMethod,0.04157472511981264,0.05328919336449416,1.8931635265710132
OnlineBackup,0.03882527549538772,0.02456211856640709,23.3949484958587
Partner,0.03217433447631657,0.02079032552812319,21.115730959665257
SeniorCitizen,0.03197155581485012,0.0240895210742074,35.27059861535565
StreamingTV,0.021506493330870402,0.0186835107619255,3.405663322793998
PaperlessBilling,0.018410664790106335,0.025631453157112887,15.901534022480321
Dependents,0.01498787782560873,0.018678655076223877,22.416856868661093
PhoneService,0.003512689336025998,0.007214337440554674,0.022049053497108787
MultipleLines,0.0,0.024711568388729527,0.6404246481252462
gender,0.0,0.027666856290715455,0.8049621513575044
